회사명,업종명,생산품,주소,연락처,출처파일
(유)광명중전기,기타 1차 비철금속 제조업 외 2 종,"전동기, 기계부품, 전기자재 등",전북특별자치도 군산시 산단동서로 80-11 (오식도동),063-463-6670,전북특별자치도 군산시_제조업공장현황_20250623.csv
(유)대성이엔티,기타 가공 공작기계 제조업,기계 및 부품,전북특별자치도 군산시 오식도동 857-16번지,000-0000-0000,전북특별자치도 군산시_제조업공장현황_20250623.csv
(유)대원종합선기,선박 구성 부분품 제조업,선박 기관부품,"전북특별자치도 군산시 동장산로 93 (소룡동, (유)대원종합선기) 외 1필지",063-471-8772,전북특별자치도 군산시_제조업공장현황_20250623.csv
(유)동아하이테크,선박 구성 부분품 제조업 외 2 종,선박부품,,063-462-1706,전북특별자치도 군산시_제조업공장현황_20250623.csv
(유)동아하이테크,항공기용 부품 제조업 외 1 종,"드론,무인항공기 부품, 무인 항공기","전북특별자치도 군산시 산단남북로 56, C동 204호(오식도동, 한국산업단지공단)",063-462-1706,전북특별자치도 군산시_제조업공장현황_20250623.csv
(유)명광기계,기타 가공 공작기계 제조업 외 3 종,"기계부품, 산업기계","전북특별자치도 군산시 외항1길 30 (소룡동, 명광기계공업)",063-467-4402,전북특별자치도 군산시_제조업공장현황_20250623.csv
(유)삼성글로텍,절삭가공 및 유사처리업,건설장비부품 가공,전북특별자치도 군산시 무역로 115 (오식도동),063-471-1108,전북특별자치도 군산시_제조업공장현황_20250623.csv
(유)성우폴리머,운송장비 조립용 플라스틱제품 제조업,운송장비 플라스틱 부품 제조,전북특별자치도 군산시 무역로 48 (오식도동),000-0000-0000,전북특별자치도 군산시_제조업공장현황_20250623.csv
(유)성우폴리머,운송장비 조립용 플라스틱제품 제조업 외 1 종,"자동차 부품, FRP 선박 건조, 조선해양기자재","전북특별자치도 군산시 산단남북로 56(오식도동, 한국산업단지공단)",070-4042-6346,전북특별자치도 군산시_제조업공장현황_20250623.csv
(유)와이케이,자동차 차체용 신품 부품 제조업 외 3 종,"자동차 부품, 농업용 육묘상자",전북특별자치도 군산시 산단로 42 (오식도동),063-465-7884,전북특별자치도 군산시_제조업공장현황_20250623.csv
