회사명,업종명,생산품,주소,연락처,출처파일,전화번호,대표자명,공장대표주소(지번),공장대표주소(도로명)
주식회사 아이에스앤로드테크,전자감지장치 제조업 외 6 종,"무인교통감시장치, 전광판, 출입통제, 영상감시장치, BIT 버스차량정보안내장치 , 차량속도측정기",경기도 고양시 덕양구 삼원로 73 4층 407호,031-919-6656,경기도_고양시_공장등록 현황_20251210.csv,,,,
(주)선광이엔지,전시 및 광고용 조명장치 제조업 외 5 종,"전광판, CCTV, 방송장비, 무인안내시스템, 버스차량정보안내장치, 동보장치,  주차관제장치","경기도 고양시 일산동구 성석로 212-27, 2동 일부 (성석동)",031-976-9312,경기도_고양시_공장등록 현황_20251210.csv,,,,
디비이앤씨(주),유선 통신장비 제조업 외 3 종,"다중화장치, 일반용전기조명장치, CCTV용 카메라, 차량용 배터리 충전기 제조","경기도 고양시 덕양구 삼원로 51, 3층320호,6층611호  (원흥동) 3층320호,6층611호",02-358-0003,경기도_고양시_공장등록 현황_20251210.csv,,,,
(주)삼성티엔지,방송장비 제조업 외 8 종,"보안용 카메라, 영상감시장치, 차량번호판독기, 보행신호음성안내 보조장치, 전광판, 계장제어장치 등",경기도 고양시 일산동구 장진천길 30-69 (설문동),031-932-8980,경기도_고양시_공장등록 현황_20251210.csv,,,,
(주)비티컴퍼스,교통 신호장치 제조업 외 3 종,"차량번호인식기,차량차단기,무인정산기,주차권발권기",경기도 고양시 덕양구 통일로 140 (동산동) 삼송테크노밸리 비동 4층 404호,031-810-9394,경기도_고양시_공장등록 현황_20251210.csv,,,,
(주)다이노,교통 신호장치 제조업 외 2 종,"차량차단기, 주차요금계산기, 차량인식기, 차량번호 판독기",경기도 고양시 일산서구 덕산로244번길 23 (덕이동) 2동,031-919-9889,경기도_고양시_공장등록 현황_20251210.csv,,,,
(주)에프피텍,전자감지장치 제조업,"BLDC게이트 차단기컨트롤보드, 차량검지기",경기도 광명시 소하동 1345번지 광명테크노파크 A동 8층 809,02-6112-3800,경기도 광명시_공장등록현황_20251208.csv,,,,
(주)코스템,방송장비 제조업 외 2 종,"CCTV제품, 차량번호식별 제품",경기도 광명시 하안동 201번지 아파트형공장 제1동 4동 7층 4호,070-4640-2867,경기도 광명시_공장등록현황_20251208.csv,,,,
(주)한국장애인복지일자리나눔,방송장비 제조업 외 2 종,"CCTV 등 영상감시장치, 인쇄물, 차량인식기, 장애인주차구역 단속시스템",경기도 광명시 소하동 1344 광명G타워 402호 402호,02-703-6793,경기도 광명시_공장등록현황_20251208.csv,,,,
디아이디시스템 주식회사,전시 및 광고용 조명장치 제조업,버스 및 차량정보 안내 LED 전광판,경기도 광명시 소하동 1345 광명테크노파크 B동 906호 B동 906호,02-2083-1980,경기도 광명시_공장등록현황_20251208.csv,,,,
삼진사,인형 및 장난감 제조업,"깨스쇼파반제품,의자,자동차",경기도 광명시 소하동 3-4번지,02-807-9063,경기도 광명시_공장등록현황_20251208.csv,,,,
주식회사 비스타씨엔씨,방송장비 제조업 외 1 종,"차량번호인식기, CCTV",경기도 광명시 하안동 201번지 1동 6층 1-1호,070-7008-2121,경기도 광명시_공장등록현황_20251208.csv,,,,
플러스테크,교통 신호장치 제조업,"중앙감시반, 차량번호인식기, 차단기",경기도 광명시 소하동 1345 광명테크노파크 A동 905호,02-3667-1861,경기도 광명시_공장등록현황_20251208.csv,,,,
(주)대호씨앤씨,,주차제어장치+차량차단기+차량번호인식기+주차요금계산기+긴급전화기,경기도 광주시 초월읍 지월로100번길 125,031-768-6774,경기도 광주시_공장등록 현황_20260130.csv,,,,
(주)아이티씨테크,,영상정보디스플레이장치 조립+전광판 조립+통합배선반 조립+영상감시장치 조립+보안용카메라 조립+CCTV 조립+광다중화장치 조립+버스 및 차량안내장치 조립+전기전자통신기기 조립,"경기도 광주시 오포로448번길 12-2, 단독",031-699-7909,경기도 광주시_공장등록 현황_20260130.csv,,,,
(주)엠디엠알,,차량검지기+가변정보표지판+영상검지기 등,경기도 광주시 초월읍 도평길 207-17,02-2244-9370,경기도 광주시_공장등록 현황_20260130.csv,,,,
(주)비앤아이테크,기타 전기 변환장치 제조업 외 8 종,"전기자동차용 충전기, 태양광발전장치, 영상감시장치, 출입통제시스템, 전광판","경기도 군포시 당정로 40-12, 3층 (당정동)",02-2138-1225,경기도 군포시_공장등록 현황_20250915.csv,,,,
비바아이티에스(주),교통 신호장치 제조업,"CCTV용카메라, 교통관제용카메라, 차량번호인식시스템","경기도 군포시 공단로140번길 46, 엠테크노 1019호 (당정동)",031-455-6994,경기도 군포시_공장등록 현황_20250915.csv,,,,
아이솔루텍 주식회사,비디오 및 기타 영상기기 제조업,"CCTV,차량용 영상기기","경기도 군포시 당정로60번길 16, 2층 (당정동)",031-426-5089,경기도 군포시_공장등록 현황_20250915.csv,,,,
주식회사 가온정보기술,방송장비 제조업,"비상호출시스템, 차량번호판독기, CCTV(폐쇄회로 텔레지전)제조","경기도 군포시 당정역로4번길 7, 204호 (당정동, 동호프라자)",070-7601-8077,경기도 군포시_공장등록 현황_20250915.csv,,,,
주식회사 비에프랩스,교통 신호장치 제조업 외 8 종,"주차안내판, 주차요금계산기, 주차주제어장치, 차량인식기, 차량차단기, 영상감시장치, 버스 및 차량정보안내장치, 보안용카메라","경기도 군포시 당정로28번길 18-5, 3층 (당정동)",031-470-4800,경기도 군포시_공장등록 현황_20250915.csv,,,,
주식회사 아이텍코리아,금속 표시판 제조업 외 1 종,"건물번호판,기초번호판,도로명판,교통표지안내판,차량용 후부반사판","경기도 군포시 공단로140번길 52, 4층 413호(당정동, 에이스 하이테크시티군포)",031-454-8166,경기도 군포시_공장등록 현황_20250915.csv,,,,
주식회사 엘이디오션,방송장비 제조업 외 2 종,"안내전광판, 구내방송장치, 버스및차량정보안내장, 영상디스플레이, 열차행선안내장치, 교통전광, 기상전광판, 무인안내시스템 ","경기도 군포시 엘에스로182번길 34-13, 1층 (산본동)",031-8084-9760,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)국제산업,교통 신호장치 제조업 외 9 종,경광등(안전 경고등)+ 특수목적용차량특장제조,경기도 부천시 원미구 상이로21번길 14+ 1층 (상동),032-323-5758,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)상아엠에스디,육상 금속 골조 구조재 제조업 외 10 종,전시용진열대-금속 부분 가공+ 금속기둥 + 금속기둥 + 금속기둥 + 목재부분 가공 가구+ 목재부분 가공 가구+ 애견훈련장비+ 버스 및 차량정보안내장치+ 안내전광판+ 소파(목재 부분 가공)+ 이동식서가,경기도 부천시 오정구 신흥로378번길 37 (내동),032-682-9230,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)에스엠메이커스,컴퓨터 제조업 외 8 종,보안용카메라+ 영상감시장치+로고젝터+교차로알리미+바닥신호등+출입통제시스템+전기자동차용충전장치,경기도 부천시 원미구 평천로 655 (약대동) 부천테크노파크4단지 401동 14층 5호,,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)한별테크,교통 신호장치 제조업,자동차단기+유도등+출차주의등+주차권발행,경기도 부천시 소사구 경인로484번길 11+ 지층 (괴안동),032-341-2338,경기도 부천시_공장등록현황_20251118.csv,,,,
아이파킹 주식회사,기타 구조용 금속제품 제조업 외 2 종,차량차단기+ 차량번호 인식기+ 출구무인정산기 등,경기도 부천시 오정구 산업로 61+ 1층+ 2층+ 3층 일부 (오정동),02-6328-6543,경기도 부천시_공장등록현황_20251118.csv,,,,
주식회사 제이더블유,배전반 및 전기 자동제어반 제조업 외 6 종,교통관제시스템+ 마을무선방송장치+ 멀티미디어학습장치+ 무선송수신기+ 무선통신송신기+ 무선통신장치+ 무인교통감시장치+ 보안용카메라+ 보행신호음성안내보조장치+ 수업자동녹화시스템+ 실물화상기+ 영상감시장치+ 원격자동검침시스템+ 지하재방송장치+ 차량번호판독기+ 원격자동검침시스템+ 원격접속장치+ 프로세스 제어반+ 프로세스 제어반+ 가로등자동점멸기+ 계장제어장치+ 모니터링장치+ 분전반+ 빌딩자동제어장치+ 원격자동검침시스템+ 전동기제어반+ 전력보호감시장치+ 조명용제어장치+ 집중표시제어장치+ 최대수요전력제어기+ 폐쇄형배전반+ 프로그래머블로직컨트롤러,경기도 부천시 원미구 조마루로427번길 96+ B동 2층(춘의동+ 천일테크),032-244-5487,경기도 부천시_공장등록현황_20251118.csv,,,,
주식회사 제이마이크로,전자부품 실장기판 제조업 외 2 종,교통관제시스템+ 마을무선방송장치+ 멀티미디어학습장치+ 무선송수신기+ 무선통신송신기+ 무선통신장치+ 무인교통감시장치+ 보안용카메라+ 보행신호음성안내보조장치+ 수업자동녹화시스템+ 실물화상기+ 영상감시장치+ 원격자동검침시스템+ 지하재방송장치+ 차량번호판독기,경기도 부천시 소사구 양지로 247+ 806호 (옥길동+ 광양프런티어밸리7차 지식산업센터) 806호,032-710-6860,경기도 부천시_공장등록현황_20251118.csv,,,,
주식회사 지엘앤티,그 외 기타 전기장비 제조업 외 8 종,차량번호인식기+ 자동차단기+ 무인정산,경기도 부천시 원미구 부천로198번길 18+ (춘의동+ 춘의테크노파크II) 201동 14층 1403호,02-2093-7600,경기도 부천시_공장등록현황_20251118.csv,,,,
주식회사 티디씨,물질 검사+ 측정 및 분석기구 제조업 외 4 종,교통량조사장비(AVC)+ 고정식축중기(WIM)+ 차량번호판독기(LPR)+ 교통정보표시판(VMS),경기도 부천시 오정구  석천로 397 (삼정동) 301동 6층 601호,032-624-2859,경기도 부천시_공장등록현황_20251118.csv,,,,
지메이드(GMADE),인형 및 장난감 제조업 외 1 종,완구 자동차+ 기념패,경기도 부천시 오정구 삼작로133번길 54+ 2층(내동),032-678-8170,경기도 부천시_공장등록현황_20251118.csv,,,,
한용산업(주),교통 신호장치 제조업 외 2 종,주차장용 차량 차단기,경기도 부천시 오정구 석천로 397+ 301동 408호 (삼정동),02-587-9671,경기도 부천시_공장등록현황_20251118.csv,,,,
행운하이테크,그 외 기타 플라스틱 제품 제조업 외 1 종,화분+ 식판+ 차량용방향제 등+ 금형 등,경기도 부천시 원미구 부천로208번길 103+ 1층 (춘의동),,경기도 부천시_공장등록현황_20251118.csv,,,,
소울테크(주),유선 통신장비 제조업 외 4 종,"CCTV, 차량검지장치","경기도 수원시 영통구 창룡대로256번길 77,(이의동, 에이스 광교타워3) 공장동 12층 1214호 외 1필지",031-606-0100,경기도 수원시_제조업현황_20250214.csv,,,,
주식회사 탄탄코어,비디오 및 기타 영상기기 제조업 외 8 종,"AIOT 단말기, 주차제어용 차량인식기, AI 카메라","경기도 수원시 영통구 창룡대로 260, B118호(이의동, 광교 센트럴비즈타워) B118호",031-270-7900,경기도 수원시_제조업현황_20250214.csv,,,,
주식회사 휴머스,교통 신호장치 제조업 외 1 종,"카메라, 주차주제어장치, 차량인식기, 주차안내판, 주차요금계산기, 차량차단기","경기도 수원시 팔달구 경수대로 645, 301호, 302호 (지동)",031-899-8431,경기도 수원시_제조업현황_20250214.csv,,,,
(주)에이스큐브,전기경보 및 신호장치 제조업,차량용 졸음운전 경보기,"경기도 수원시 권선구 오목천로152번길 40, 8층 815 (고색동, 고색동 첨단벤처밸리) 8층 815호",031-227-7026,경기도 수원시_제조업현황_20250214.csv,,,,
