회사명,업종명,생산품,주소,연락처,출처파일,전화번호,대표자명,공장대표주소(지번),공장대표주소(도로명)
에어텍스,플라스틱 필름 제조업,"차량용 비닐시트커버, 매트커버","경기도 고양시 일산서구 대화로37번길 44-13, A (법곳동)",031-917-3837,경기도_고양시_공장등록 현황_20251210.csv,,,,
엘투엔케이,"천막, 텐트 및 유사 제품 제조업",차량용 대쉬보드 커버,경기도 고양시 일산서구 구산로 87 (구산동) 가동,070-4042-4628,경기도_고양시_공장등록 현황_20251210.csv,,,,
(주)와토코리아,자동차용 신품 전기장치 제조업 외 1 종,"신품 및 재제조 자동차용 교류발전기, 신품 및 재제조 자동차용 시동모터",경기도 고양시 일산동구 장진천길46번길 89-38 (설문동) 외 2필지,031-967-1500,경기도_고양시_공장등록 현황_20251210.csv,,,,
에이치와이씨 주식회사,자동차용 신품 전기장치 제조업,자동차용 점화 배선세트,경기도 고양시 일산서구 덕산로173번길 85-19(가좌동),,경기도_고양시_공장등록 현황_20251210.csv,,,,
주식회사 타라코리아,자동차용 신품 의자 제조업,자동차 시트 관련 부품,"경기도 고양시 일산서구 장자길118번길 105-109, 가동, 나동 (덕이동)",031-914-0031,경기도_고양시_공장등록 현황_20251210.csv,,,,
세일정밀,자동차용 금속 압형제품 제조업 외 1 종,알루미늄케이스,경기도 고양시 일산동구 장대길 41-19 (장항동),031-904-0936,경기도_고양시_공장등록 현황_20251210.csv,,,,
아세아금속,자동차용 금속 압형제품 제조업 외 1 종,스텐레스제품,경기도 고양시 일산서구 신덕로 65-27 (덕이동),031-919-3471,경기도_고양시_공장등록 현황_20251210.csv,,,,
주식회사 인터트레이드,자동차용 금속 압형제품 제조업,자동차 부품,"경기도 고양시 일산동구 고봉로658번길 177, 4동, 5동, 9동(2층) (성석동)",031-966-8777,경기도_고양시_공장등록 현황_20251210.csv,,,,
(주)대성오토,자동차 재제조 부품 제조업,미션제제소,경기도 고양시 일산동구 성석동 729-3 1층,031-921-8801,경기도_고양시_공장등록 현황_20251210.csv,,,,
부영테크,자동차 재제조 부품 제조업,자동차 재제조 부품(미션),"경기도 고양시 일산동구 고봉로814번길 59-23, 1층 일부 (설문동)",031-977-8695,경기도_고양시_공장등록 현황_20251210.csv,,,,
오토엔테크(주),자동차 재제조 부품 제조업,자동차 재제조 부품(미션),경기도 고양시 일산동구 고봉로658번길 61 -47(성석동),031-977-8693,경기도_고양시_공장등록 현황_20251210.csv,,,,
(주)우정,자동차 구조 및 장치 변경업 ,"장애인 운송차량 개조, 순찰차 개조 등",경기도 고양시 일산서구 덕산로121번길 13-2 (가좌동) 1층 일부,031-921-8575,경기도_고양시_공장등록 현황_20251210.csv,,,,
(주)에스엠비오토와이드,"용기 세척, 포장 및 충전기 제조업",차량및산업용프레온가스회수재생충전기,경기도 고양시 일산동구 성현로 333 (문봉동) (총 2 필지),031-976-4457,경기도_고양시_공장등록 현황_20251210.csv,,,,
(주)지피아이코리아,비디오 및 기타 영상기기 제조업,"차량용 ANPR CAMERA, RF",경기도 고양시 일산동구 하늘마을로 158 (중산동) 비동 602호,070-4352-6380,경기도_고양시_공장등록 현황_20251210.csv,,,,
반도산업,기타자동차부품제조업,자동차부품,"경기도 고양시 일산동구 일산로 142, 516호 (백석동)",031-904-7548,경기도_고양시_공장등록 현황_20251210.csv,,,,
대성오토,그 외 자동차용 신품 부품 제조업 외 3 종,자동변속기 재제조,경기도 고양시 일산동구 성석로 214 (성석동),031-921-8801,경기도_고양시_공장등록 현황_20251210.csv,,,,
태일정공,그 외 자동차용 신품 부품 제조업 외 3 종,조향장치,경기도 고양시 일산동구 은마길 31-54 (성석동),031-977-8630,경기도_고양시_공장등록 현황_20251210.csv,,,,
(주)도모코리아,그 외 자동차용 신품 부품 제조업,자동차용 허브 베어링(자동차용 허브 앗세이),경기도 고양시 일산동구 문봉길62번길 32-30 (문봉동),031-975-1505,경기도_고양시_공장등록 현황_20251210.csv,,,,
주식회사 메이크띵즈,가방 및 기타 보호용 케이스 제조업 외 30 종,"매트리스 침구류, 마대, 헬기구조망, 남성정장, 원피스, 내의, 셔츠, 운동복, 가죽의류, 모자, 지갑, 가방, 카디건, 기계자수, 구명조끼, 방탄복, 장갑, 방호복, 단추, 커튼유사제품, 천막, 융단, 변기커버, 민속의류, 유아복 내의, 직물제 모자, 가죽 끈, 호스 제조(강관), 자동차용 의자제조, 해머 제조(수공구), 식탁 및 주방용기, 안전핀/레버 및 기타 부분품","경기도 고양시 일산동구 문봉길 70, 3동 일부(문봉동)",032-684-7847,경기도_고양시_공장등록 현황_20251210.csv,,,,
(주)거화전자,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품조립(Power window s/w),경기도 광명시 광명동 720-5번지,02-2681-8810,경기도 광명시_공장등록현황_20251208.csv,,,,
(주)도래샘(5공장),"금속 문, 창, 셔터 및 관련제품 제조업 외 3 종","차수판, 자동차수장치, 차단게이트",경기도 광명시 노온사동 365-6,02-861-8048,경기도 광명시_공장등록현황_20251208.csv,,,,
(주)동원행거,일반철물 제조업,자동차부품(행거),경기도 광명시 철산동 123-2번지,02-2686-1858,경기도 광명시_공장등록현황_20251208.csv,,,,
(주)문화테크,자동차용 신품 전기장치 제조업 외 1 종,"자동차부품(콘덴서, led외)",경기도 광명시 하안동 201번지 아파트형공장 제1동 2동 5층 3,02-898-8886,경기도 광명시_공장등록현황_20251208.csv,,,,
(주)상진,자동차용 금속 압형제품 제조업 외 1 종,"컴퓨터 주변기기,정보통신부품",경기도 광명시 광명동 153-1번지,02-2615-5571,경기도 광명시_공장등록현황_20251208.csv,,,,
(주)세코인터페이스,그 외 자동차용 신품 부품 제조업 외 3 종,매연저감장치용 전장품,경기도 광명시 소하동 1345 번지 광명테크노파크 비동 4층 비402호,070-7781-0300,경기도 광명시_공장등록현황_20251208.csv,,,,
(주)승영,그 외 자동차용 신품 부품 제조업 외 4 종,자동차부품,경기도 광명시 옥길동 225-3번지,02-2616-4493,경기도 광명시_공장등록현황_20251208.csv,,,,
(주)여주전자,그 외 자동차용 신품 부품 제조업 외 5 종,"Power Window s/w, Remote Control s/w, DMB Module, LED LAMP ","경기도 광명시 소하동 1365-0 에이스 광명타워 309,310호",02-894-6121,경기도 광명시_공장등록현황_20251208.csv,,,,
(주)예림 엘.엔.아이,방사선 장치 제조업,"자동차용,전장품,적외선치료기",경기도 광명시 철산동 66-11번지,02-2615-3403,경기도 광명시_공장등록현황_20251208.csv,,,,
(주)윤진전자,전자부품 실장기판 제조업,자동차용 LED PCB ASSY,"경기도 광명시 소하동 1365번지 405호, 409호, 410호",02-896-7757,경기도 광명시_공장등록현황_20251208.csv,,,,
(주)이노시스템,"전기회로 개폐, 보호장치 제조업 외 2 종",산업용 자동차 분전반,경기도 광명시 일직동 515-1번지 B-1406,02-2060-5868,경기도 광명시_공장등록현황_20251208.csv,,,,
(주)지아이비코리아,컴퓨터 제조업,IPU(고속도로 자동차 번호인식 장치),경기도 광명시 하안동 201 453호 453호,070-8849-5797,경기도 광명시_공장등록현황_20251208.csv,,,,
금강공업사,자동차용 금속 압형제품 제조업 외 1 종,자동차번호판,경기도 광명시 철산동 123-2번지,02-867-1114,경기도 광명시_공장등록현황_20251208.csv,,,,
기아(주),승용차 및 기타 여객용 자동차 제조업,자동차,경기도 광명시 소하1동 781-1번지,02-801-4290,경기도 광명시_공장등록현황_20251208.csv,,,,
대윤전자(주),배전반 및 전기 자동제어반 제조업,"중량제어시스템,출하자동차",경기도 광명시 하안동 201번지,02-807-9555,경기도 광명시_공장등록현황_20251208.csv,,,,
동우산업,플라스틱 접착처리 제품 제조업 외 1 종,"자동차,전자부품",경기도 광명시 소하동 1345번지,02-2618-5673,경기도 광명시_공장등록현황_20251208.csv,,,,
비엔티이엠에스,인쇄회로기판용 적층판 제조업 외 5 종,"인버터, 차량용시계",경기도 광명시 하안동 201번지,02-893-6121,경기도 광명시_공장등록현황_20251208.csv,,,,
삼주정밀,그 외 자동차용 신품 부품 제조업 외 4 종,자동차부품,경기도 광명시 소하동 1140-1번지,02-803-8175,경기도 광명시_공장등록현황_20251208.csv,,,,
오라텍,그 외 자동차용 신품 부품 제조업 외 3 종,자동차 부품,경기도 광명시 소하동 1345 번지 광명테크노파크 씨동 7층 씨704호,02-2083-1855,경기도 광명시_공장등록현황_20251208.csv,,,,
오토테크인터네셔날주식회사,그 외 자동차용 신품 부품 제조업,자동차용 냉온 겸용 컵받침대,경기도 광명시 소하동 1345 광명테크노파크 D동 7층 710호,,경기도 광명시_공장등록현황_20251208.csv,,,,
주식회사 그린카클린시티,내연기관 승용차 및 기타 여객용 자동차 제조업 외 1 종,전기자동차,경기도 광명시 소하동 1345 번지 광명테크노파크 비동 지하층 지하101~지하102호,070-8299-2525,경기도 광명시_공장등록현황_20251208.csv,,,,
주식회사 스타코프,속도계 및 적산계기 제조업 외 1 종,전기자동차 충전장치,경기도 광명시 소하동 1365 에이스 광명타워 511호 511호,02-1833-4903,경기도 광명시_공장등록현황_20251208.csv,,,,
주식회사 영일앤텍,자동차용 금속 압형제품 제조업 외 1 종,"잉카블럭, 잉카바, 본딩스트랩외 기계제품",경기도 광명시 소하동 517-3번지,02-809-0313,경기도 광명시_공장등록현황_20251208.csv,,,,
주식회사 플레코,기타 전기 변환장치 제조업 외 2 종,"인버터, 전력시험기, 자동차 전자식모의운전장치",경기도 광명시 소하동 1344 광명G타워 523호 523호 외 1필지,,경기도 광명시_공장등록현황_20251208.csv,,,,
지석테크,금속 절삭기계 제조업,전기자동차 배터리 부품,경기도 광명시 노온사동 770-5번지,,경기도 광명시_공장등록현황_20251208.csv,,,,
컨버테크,그 외 자동차용 신품 부품 제조업 외 3 종,자동차전원장치,경기도 광명시 철산1동 626-3번지 광명조명타운703호,02-2688-0618,경기도 광명시_공장등록현황_20251208.csv,,,,
(주)경원메탈,,자동차부품+구조형 금속난간+철구조물+승강기,경기도 광주시 곤지암읍 광여로733번길 7-25,031-763-4162,경기도 광주시_공장등록 현황_20260130.csv,,,,
