회사명,업종명,생산품,주소,연락처,출처파일
헨켈코리아(유)오토모티브지점,산업용 그 외 비경화 고무제품 제조업 외 2 종,,충청북도 음성군 금왕읍 대금로 1298,,충청북도_음성군_산업단지 입주기업 현황_20250922.csv
(주)평화정공,그 외 자동차용 신품 부품 제조업 외 3 종,,충청북도 음성군 음성읍 한불로 59 (총 2 필지) 외 1필지,,충청북도_음성군_산업단지 입주기업 현황_20250922.csv
(주)디에스테크노,그 외 기타 전자부품 제조업,,충청북도 음성군 대소면 대소산단로 71,,충청북도_음성군_산업단지 입주기업 현황_20250922.csv
(주)디에스테크노,반도체부품 제조업,,충청북도 음성군 대소면 성본산단2로 305,,충청북도_음성군_산업단지 입주기업 현황_20250922.csv
성우오토텍(주),자동차 차체용 신품 부품 제조업 외 4 종,,충청북도 음성군 원남면 원남산단로 160,,충청북도_음성군_산업단지 입주기업 현황_20250922.csv
(주)한국기능공사,그 외 자동차용 신품 부품 제조업,,충청북도 음성군 금왕읍 삼봉리 676-2번지 (유촌산업단지 내) 외 2필지,,충청북도_음성군_산업단지 입주기업 현황_20250922.csv
(주)한국기능공사,그 외 자동차용 신품 부품 제조업,,"충청북도 음성군 금왕읍 삼봉리 676-1번지 , 유촌리 804(유촌산업단지 내)",,충청북도_음성군_산업단지 입주기업 현황_20250922.csv
(주)한국기능공사,그 외 자동차용 신품 부품 제조업,,"충청북도 음성군 금왕읍 삼봉리 676-3번지 , 유촌리804-1(유촌산업단지 내)",,충청북도_음성군_산업단지 입주기업 현황_20250922.csv
㈜케이씨모터스,차체 및 특장차 제조업 외 2 종,,충청북도 음성군 금왕읍 유촌산단1길 84,,충청북도_음성군_산업단지 입주기업 현황_20250922.csv
Y&T파워텍(주),자동차 엔진용 신품 부품 제조업 외 1 종,,충청북도 음성군 삼성면 하이텍산단로 110 (총 2 필지) 외 1필지,,충청북도_음성군_산업단지 입주기업 현황_20250922.csv
Y&T파워텍(주) 제2공장,자동차 엔진용 신품 부품 제조업 외 1 종,,충청북도 음성군 삼성면 하이텍산단로 115 외 1필지,,충청북도_음성군_산업단지 입주기업 현황_20250922.csv
(주)광우,,"특장차부품, 철강재가공, 철강제품",충청북도 청주시 서원구 현도면 시동리 448-1번지,043-269-0778,충청북도_제조업체 현황_20241231.csv
(주)그린광학 (1공장),,"렌즈,프리즘 등 광학부품",충청북도 청주시 청원구 오창읍 각리 642-5번지,043-218-2183,충청북도_제조업체 현황_20241231.csv
(주)그린광학 (2공장),,광학부품,충청북도 청주시 청원구 오창읍 각리 641-8번지,043-218-2183,충청북도_제조업체 현황_20241231.csv
(주)그린광학 (3공장),,광학부품 및 광시스템,충청북도 청주시 청원구 오창읍 각리 641-9번지,043-218-2183,충청북도_제조업체 현황_20241231.csv
(주)글로벌서비스,,특장차및건설기계부품,충청북도 청주시 서원구 현도면 우록리 546-1번지,043-269-4491,충청북도_제조업체 현황_20241231.csv
(주)글로벌특장,,화물차량 특수탑(윙바디),충청북도 청주시 흥덕구 지동동 764-19번지,043-273-4111,충청북도_제조업체 현황_20241231.csv
(주)금성프로텍,,전기전자제어부품,충청북도 청주시흥덕구 봉명동 2427 번지,043-274-1135,충청북도_제조업체 현황_20241231.csv
(주)나노테크,,휴대폰 카메라용 부품,충청북도 청주시 청원구 북이면 현암리 2번지,043-217-6390,충청북도_제조업체 현황_20241231.csv
(주)나라텍,,"토목과련, 콘크리트관련 금속ㅈ구조전기전자부품",충청북도 청주시 청원구 내수읍 풍정리 105-3번지,043-213-8231,충청북도_제조업체 현황_20241231.csv
(주)네패스아크,,"반도체테스트, 전자부품제조",충청북도 청주시 청원구 오창읍 송대리 311-2번지,043-240-0321,충청북도_제조업체 현황_20241231.csv
(주)넥스텍,,"자동차계기반, 자동화기기, 키폰/PBX, 인터넷폰",충청북도 청주시 흥덕구 송정동 70-55번지,043-266-1192,충청북도_제조업체 현황_20241231.csv
(주)넥스포,,전극판부품제조,충청북도 청주시 흥덕구 옥산면 남촌리 1112-13 (주)POLE,043-266-9908,충청북도_제조업체 현황_20241231.csv
(주)누리라인,,철도차량부품,충청북도 청주시 청원구 오창읍 석우리 60-2번지,043-217-2964,충청북도_제조업체 현황_20241231.csv
(주)대덕기업,,자동차배선부품,충청북도 청주시 흥덕구 옥산면 호죽리 산 96-32 외 4필지,,충청북도_제조업체 현황_20241231.csv
(주)대성씨엠텍,,"수처리장치주문제작,계측기 부품가공",충청북도 청주시 청원구 북이면 금암리 241,043-216-6314,충청북도_제조업체 현황_20241231.csv
(주)대원디씨,,"자동차부품(사이드미러,엔진부품)",충청북도 청주시 흥덕구 송정동 140-55번지,043-276-2760,충청북도_제조업체 현황_20241231.csv
(주)대원프리시전,,"이차전지 관련 정밀금형, 정밀기계부품 및 방산관련 기계부품 등",충청북도 청주시 흥덕구 옥산면 남촌리 1112-6번지,043-213-6167,충청북도_제조업체 현황_20241231.csv
(주)대유데칼,,오토바이헬멧전사지,충청북도 청주시 흥덕구 신봉동 503-1,043-272-1868,충청북도_제조업체 현황_20241231.csv
(주)동부산업기계,,기계제작 부품가공,충청북도 청주시 흥덕구 옥산면 덕촌리 123-2번지,043-236-9221,충청북도_제조업체 현황_20241231.csv
(주)동양특수주강,,"철도차량부품, Bearing Housing Sprocket",충청북도 청주시 서원구 현도면 죽전리 280-1번지,043-269-2977,충청북도_제조업체 현황_20241231.csv
(주)드림켐테크놀로지,,"핸드폰 BATTERY, TRAY, 자동차부품, 플라스틱성형",충청북도 청주시 흥덕구 강내면 태성리 117-7번지,043-235-4251,충청북도_제조업체 현황_20241231.csv
(주)디아이코리아,,롤스크린부품 및 방충망부품(플라스틱),충청북도 청주시 서원구 현도면 죽전리 356-4,,충청북도_제조업체 현황_20241231.csv
(주)디에프텍,,"반도체장비부품/세정, 전자기계부품",충청북도 청주시흥덕구 송정동 123-2번지,043-272-1421,충청북도_제조업체 현황_20241231.csv
(주)디투에이스,,"반도체장비부품, 기계 사후관리","충청북도 청주시 흥덕구 송정동 279-5번지 1동 12층 1201, 1202호  1동 12층 1201, 1202호호 외 1필지",043-276-7231,충청북도_제조업체 현황_20241231.csv
(주)레오,,"LED조명, 전기전자부품, 태양광부품, 의료용 전기장비외",충청북도 청주시 서원구 남이면 척산리 323-4번지,043-236-6740,충청북도_제조업체 현황_20241231.csv
(주)리우,,"자동차프레스금형, 자동화설비, 부품가공제작",충청북도 청주시 청원구 오창읍 기암리 148-2번지 외 4필지,,충청북도_제조업체 현황_20241231.csv
(주)리우테크,,자동차 금형 부품,충청북도 청주시 청원구 오창읍 성재리 974번지,043-232-3077,충청북도_제조업체 현황_20241231.csv
(주)맥슨,,"인터넷전화기 부품, 휴대폰 부품",충청북도 청주시 흥덕구 송정동 70-35번지,043-263-6411,충청북도_제조업체 현황_20241231.csv
(주)모넥스코리아,,"PUMP부품,칼날",충청북도 청주시 서원구 남이면 외천리 38번지,043-268-7661,충청북도_제조업체 현황_20241231.csv
(주)모빌전장,,자동차부품(전선),충청북도 청주시 서원구 남이면 척산리 658-1번지 외 2필지,043-269-3706,충청북도_제조업체 현황_20241231.csv
(주)몰드윈,,자동차부품금형,충청북도 청주시 서원구 현도면 죽전리 308-3번지 외 1필지,043-269-3236,충청북도_제조업체 현황_20241231.csv
(주)미경정밀,,차단기부품,충청북도 청주시 청원구 북이면 토성리 221-2번지 외 1필지,032-571-5906,충청북도_제조업체 현황_20241231.csv
(주)미래하이테크,,테프론 코팅된 기계부품,충청북도 청주시 서원구 남이면 부용외천리 993번지,,충청북도_제조업체 현황_20241231.csv
(주)백두테크,,자동차생산용금형,충청북도 청주시 청원구 북이면 용계리 511번지 외 6필지,043-211-6556,충청북도_제조업체 현황_20241231.csv
(주)벡스코,,"진공펌프, 진공시스템, 반도체장비부품",충청북도 청주시 서원구 남이면 외천리 250번지,043-260-4310,충청북도_제조업체 현황_20241231.csv
(주)삼영오토,,자동차사이드미러,충청북도 청주시 흥덕구 옥산면 과학산업1로 170,043-276-5050,충청북도_제조업체 현황_20241231.csv
(주)상지공업사,,건설기계부품,충청북도 청주시 청원구 오동동 26-11번지,043-218-4303,충청북도_제조업체 현황_20241231.csv
(주)샤이닝,,"자동차털이개,핸들카바,차량바닥시트",충청북도 청주시 청원구 북이면 내추리 48-4번지,043-211-5055,충청북도_제조업체 현황_20241231.csv
(주)서경산업,,"비대면방역소독기, 방역소독기, 차량용방역소독기 등",충청북도 청주시 청원구 오창읍 양청리 685-1 충북테크노파크 선도기업관 310호,043-270-8000,충청북도_제조업체 현황_20241231.csv
(주)서림테크,,플라스틱부품,충청북도 청주시 청원구 오창읍 신평리 565-1번지,043-216-6465,충청북도_제조업체 현황_20241231.csv
(주)서정오토,,Actuator,충청북도 청주시 흥덕구 옥산면 남촌리 1112-15번지,043-276-7799,충청북도_제조업체 현황_20241231.csv
(주)선광모터스,,건설기계용품 재생.개량및자동덮개,충청북도 청주시 서원구 현도면 선동리 122-1번지 외 1필지,043-260-3243,충청북도_제조업체 현황_20241231.csv
(주)선호엔지니어링,,"특장차부품,자동화기기",충청북도 청주시 청원구 사천동 160-13번지,043-266-4932,충청북도_제조업체 현황_20241231.csv
(주)성경테크,,"배전반,전기제어장치,고압차단기부품 등",충청북도 청주시 청원구 북이면 내둔리 84번지,043-218-5511,충청북도_제조업체 현황_20241231.csv
(주)성신산전,,전력기기 구동부 부품,충청북도 청주시 흥덕구 봉명동 417-45 (주)동영종합건설,043-214-7767,충청북도_제조업체 현황_20241231.csv
(주)성원이엔지,,특장차 부품 용접 및 제관용접,충청북도 청주시 청원구 오창읍 여천리 196-1번지,043-275-1204,충청북도_제조업체 현황_20241231.csv
(주)성화텍,,"반도체부품, 배관, 실험실용 반응기",충청북도 청주시 흥덕구 남촌동 49번지,043-232-4736,충청북도_제조업체 현황_20241231.csv
