docity,do,city,longitude,latitude,dist_Wolseong_km,dist_Kori_Saeul_km,dist_Hanul_km,dist_Hanbit_km,
부산시기장군,부산시,기장군,129.2222873,35.24477541,55.19938397,6.465426906,194.0000293,254.5568434,6.465426906
경상기장군,경상,기장군,129.224475,35.24135,55.59336117,6.889699812,194.2515563,254.7886786,6.889699812
부산시금정구,부산시,금정구,129.0943194,35.24007778,56.12744525,11.68087681,199.9336188,243.0310436,11.68087681
경상경주시,경상,경주시,129.2270222,35.85316944,13.27927961,61.55816485,136.6801754,257.9626046,13.27927961
경상양산시,경상,양산시,129.0394111,35.33192778,47.12502738,14.99689927,193.7227056,237.3157829,14.99689927
부산시동래구,부산시,동래구,129.0858556,35.20187222,60.4413746,15.04952908,204.0147001,242.700444,15.04952908
부산시해운대구,부산시,해운대구,129.1658083,35.16001944,64.50370589,15.87192045,204.7252979,250.4690245,15.87192045
경상부산시,경상,부산시,129.075,35.1798,63.01313389,17.53603974,206.6392721,242.0057204,17.53603974
전라영광군,전라,영광군,126.5140861,35.27416667,246.7998465,243.7960197,372.2873623,17.66762424,17.66762424
부산시연제구,부산시,연제구,129.082075,35.17318611,63.64783999,17.70724024,206.972764,242.734133,17.70724024
부산시수영구,부산시,수영구,129.115375,35.14246667,66.70009995,19.12943432,208.5550607,246.1807461,19.12943432
부산시부산진구,부산시,부산진구,129.0553194,35.15995278,65.47960634,20.37630907,209.4372765,240.5096137,20.37630907
부산시남구,부산시,남구,129.0865,35.13340833,67.97973164,21.20036749,210.6716882,243.7207619,21.20036749
부산시강서구,부산시,강서구,128.9829083,35.20916389,61.6654547,22.14928421,208.026799,233.3148405,22.14928421
부산시북구,부산시,북구,128.992475,35.19418056,63.02356635,22.21703182,209.0021756,234.3687678,22.21703182
부산시동구,부산시,동구,129.059175,35.13589444,68.05947178,22.28532766,211.6097039,241.2218577,22.28532766
울산시중구,울산시,중구,129.3328162,35.56971228,23.43444695,32.3145586,157.3885973,263.9077634,23.43444695
울산시북구,울산시,북구,129.361245,35.58270783,23.95870502,34.66378138,154.8753643,266.551528,23.95870502
경상울산시,경상,울산시,129.3123,35.546,24.66310785,29.18534205,160.5969676,261.9332319,24.66310785
울산시울주군,울산시,울주군,129.2424748,35.52230648,24.85621274,25.01726358,166.0518811,255.5224504,24.85621274
부산시사상구,부산시,사상구,128.9933333,35.14946667,67.80659029,25.15124327,213.2416617,235.082713,25.15124327
전라고창군,전라,고창군,126.7041083,35.43273889,226.4754872,226.7918263,348.8554596,25.46651641,25.46651641
경상울주군,경상,울주군,129.2971639,35.53073889,25.56462582,27.12582344,162.7485902,260.5003163,25.56462582
울산시남구,울산시,남구,129.3301754,35.54404265,25.66986599,29.58910532,159.997463,263.5404001,25.66986599
부산시영도구,부산시,영도구,129.0701861,35.08811667,73.16603603,26.34837356,215.8163298,243.0207391,26.34837356
부산시중구,부산시,중구,129.0345083,35.10321667,72.02390892,26.54980971,215.8743313,239.5477422,26.54980971
부산시서구,부산시,서구,129.0263778,35.09483611,73.0771275,27.7367982,217.0471419,238.9664798,27.7367982
경상김해시,경상,김해시,128.8916667,35.22550556,62.88449242,29.19402402,210.9428772,224.8779404,29.19402402
부산시사하구,부산시,사하구,128.9770417,35.10142778,73.34897199,29.9655732,218.606895,234.4186167,29.9655732
울산시동구,울산시,동구,129.4166919,35.50516996,33.7569128,30.10310381,160.2353548,271.2335271,30.10310381
경상영천시,경상,영천시,128.940775,35.97005278,33.45440141,78.10262772,145.6787053,235.5163647,33.45440141
경상포항시,경상,포항시,129.3616667,36.00568611,33.77457081,79.81665587,115.8879907,273.2433239,33.77457081
전라장성군,전라,장성군,126.786975,35.29881111,222.057647,218.9791301,349.2707445,35.36998424,35.36998424
전라함평군,전라,함평군,126.5186194,35.06274444,252.6900422,245.1085246,383.5975241,40.10252045,40.10252045
경상경산시,경상,경산시,128.7434639,35.82208889,40.42293679,71.24332975,169.8686615,214.4942262,40.42293679
경상청도군,경상,청도군,128.7362,35.64431111,41.46716675,56.83131221,183.7234254,210.7875911,41.46716675
전라정읍시,전라,정읍시,126.8581111,35.56687222,210.6642931,214.235942,329.7601417,42.7853202,42.7853202
전라부안군,전라,부안군,126.7356778,35.72853333,220.624322,228.0706617,332.6381495,44.83978653,44.83978653
광주시광산구,광주시,광산구,126.793668,35.13995836,226.2398644,219.308916,357.7937763,45.40923088,45.40923088
경상밀양시,경상,밀양시,128.7489444,35.50077778,47.17711057,46.58118985,194.5322617,210.7971175,46.58118985
전라무안군,전라,무안군,126.4837,34.98736944,258.4123813,249.4065827,390.7088611,47.85977532,47.85977532
경상진해시,경상,진해시,128.710081,35.13306,79.79444169,48.22208429,228.7630029,209.8877504,48.22208429
광주시북구,광주시,북구,126.9010806,35.1812138,215.5446266,209.1934229,347.0848081,50.50865811,50.50865811
대구시수성구,대구시,수성구,128.6328667,35.85520833,50.9810414,80.26220474,175.3404757,205.5391487,50.9810414
경상창원시,경상,창원시,128.6401544,35.2540033,72.86120321,51.07727308,221.8673997,201.8312406,51.07727308
대구시수성구,대구시,수성구,128.6307011,35.85835148,51.25777737,80.65557311,175.2845798,205.428853,51.25777737
광주시서구,광주시,서구,126.8895063,35.1525164,217.5207054,210.5039353,349.6820564,51.36119786,51.36119786
대구시동구,대구시,동구,128.6355584,35.88682728,51.73632842,82.840505,173.0386715,206.6015337,51.73632842
전라나주시,전라,나주시,126.7128667,35.01283889,237.8381257,228.3450999,371.6173762,51.85429666,51.85429666
전라담양군,전라,담양군,126.9901639,35.318125,203.6359642,200.5269336,332.2421598,52.46403278,52.46403278
광주시남구,광주시,남구,126.9025572,35.13301749,217.0814031,209.5281322,349.8570362,53.58380029,53.58380029
대구시중구,대구시,중구,128.6061745,35.86952722,53.71487631,83.03059283,176.3111116,203.569488,53.71487631
