1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1일 개최 건수,2일 개최 건수,3일 개최 건수,4일 개최 건수,5일 개최 건수,86일 개최 건수
3,4,10,5,9,6,8,14,9,12,9,6,25,32,16,19,1,1
2022 에일리 전국투어 콘서트 〈한 걸음 더〉 - 인천,2022－23 엠씨더맥스 이수 콘서트 ‘겨울나기’ - 인천,2023 인천가구쇼,힐스테이트 부평 입주박람회 (1차),제56차 아시아개발은행 연차총회,기부천사 나눔음악회,송도국제도시 디에트로 시그니처뷰 입주박람회,2023 크리에이터 미디어대전 in.인천,용현 자이크레스트 입주박람회,2023 인천가구쇼 (시즌2),2023 인천 SW 미래채움 페스티벌,인천 송도 상상체험 키즈월드,2022 에일리 전국투어 콘서트 〈한 걸음 더〉 - 인천,호반써밋 송도 2차 입주박람회,국제아웃도어캠핑&레포츠페스티벌 인천(고카프),2023 송도 코베 베이비페어&유아교육전,2023 인천가구쇼,인천 송도 상상체험 키즈월드
호반써밋 송도 2차 입주박람회,쇼미더머니11 콘서트 - 인천,루원시티 대성베르힐 입주박람회 2차,제8회인천국제용접&판금&레이저설비산업전시회,제26회 인천 베이비&키즈페어,더 포레마제 입주박람회 (1차),제02회 더골프쇼 in송도 / 2023 더캠핑쇼 in송도,팬텀싱어 콘서트,송도국제도시 디에트르 시그니처뷰 입주박람회(2차),2023 장윤정 라이브 콘서트,용현자이크레스트 2차 입주박람회,2023 시너지 코리아 서밋,2022－23 엠씨더맥스 이수 콘서트 ‘겨울나기’ - 인천,2022 장민호 단독 콘서트 ‘호시절 : 好時節’ - 인천,제5회 화학바이오 분석기기전,제7회 인천 건축 박람회 / 제7회 인천 가구 엑스포 / 제7회 인천 홈&리빙 페어 / 제7회 인천 차·공예 박람회 / 제7회 인천 스포츠·레저·골프산업 박람회,,
2022 장민호 단독 콘서트 ‘호시절 : 好時節’ - 인천,국제아웃도어캠핑&레포츠페스티벌 인천(고카프),2023 남진 60주년 콘서트,마이펫페어 2023 송도,힐스테이트 푸르지오 입주박람회 (2차),인천가구박람회,2023 카페디저트페어,e편한세상 부평 그랑힐스 입주박람회,2023 국제PCB 및 반도체패키징산업전,군인요리대회,예거스컵 송도,2023 인천베이비페어,쇼미더머니11 콘서트 - 인천,루원시티 대성베르힐 입주박람회 2차,"제14회 코팅접착필름산업전, 제11회 표면처리·도장산업전",2023 K-골프박람회 with 송도,,
,2023 송도 코베 베이비페어&유아교육전,2023 INQTEN CONVENTION,루원시티 린스트라우스 입주박람회(1차),불타는트롯맨 전국투어 콘서트 - 인천,STARCALL GOOD CONCERT / THE GREATEST 전율 정동하X소향,2023 인천베이비페어,2023 월드 로봇 올림피아드(WRO) 한국대회,2023 뷰티&헬스케어쇼,2023 인천코리아 아트페스티벌(IKAF),2023 그린에너지·환경산업전,에일리 콘서트,2023 남진 60주년 콘서트,더샵 송도 센터니얼 입주박람회,제1회 서스테리얼 & 세이퍼코리아,제56차 아시아개발은행 연차총회,,
,,더샵 송도 센터니얼 입주박람회,2023 K-골프박람회 with 송도,2023 대한민국 드론·UAM 박람회,2023 인천 여성&노인 일자리한마당,2023 인천 유기농.친환경 박람회,인천 이스포츠 챌린지 아마추어 대회,2023 인천 특성화고 채용박람회,2023 인천직업교육박람회,KME 2023,스트릿 우먼 파이터2 ［ON THE STAGE］ Tour - 인천,2023 INQTEN CONVENTION,힐스테이트 부평 입주박람회 (1차),제8회인천국제용접&판금&레이저설비산업전시회,제26회 인천 베이비&키즈페어,,
,,제5회 화학바이오 분석기기전,,2023 인천 일자리 한마당,〈미스터트롯2〉 전국투어 콘서트 - 인천,2023 인천 청소년 진로박람회,Rubik’s WCA 월드 챔피언십 2023,제8회 인천 가구 엑스포 / 제8회 인천 홈&리빙 페어 / 제8회 인천 차·공예 박람회 / 제8회 인천 스포츠·레저·골프산업 박람회,제2회 인천 평생학습 시민축제,2023 중소기업융합대전,불타는 트롯맨 TOP7 콘서트 - 인천,2022-23 임재범 전국투어 콘서트 - 인천,루원시티 린스트라우스 입주박람회(1차),마이펫페어 2023 송도,2023 대한민국 드론·UAM 박람회,,
,,"제14회 코팅접착필름산업전, 제11회 표면처리·도장산업전",,제19회 대한민국청소년박람회,,2023 K-DARTS FESTIVAL,한화포레나 인천연수 입주박람회,Glassman Asia 2023,2023 국제치안산업대전,트롯투나잇 in 송도,,불타는트롯맨 전국투어 콘서트 - 인천,힐스테이트 푸르지오 입주박람회 (2차),제19회 대한민국청소년박람회,인천가구박람회,,
,,제1회 서스테리얼 & 세이퍼코리아,,루원시티 린스트라우스 입주박람회(2차),,2023 제9회 생명의 바다 그림대회,2023 포레스텔라 전국투어 콘서트 – The Light in Incheon,힐스테이트 레이크 송도3차 입주박람회,2023 (주)셀트리온 임시주주총회,인천아시아아트쇼 2023,,2023 인천 일자리 한마당,루원시티 린스트라우스 입주박람회(2차),더 포레마제 입주박람회 (1차),제02회 더골프쇼 in송도 / 2023 더캠핑쇼 in송도,,
,,2022-23 임재범 전국투어 콘서트 - 인천,,힐스테이트 부평 입주박람회(2차),,,더 포레마제 입주박람회(2차),제59회 인천 시민의 날 및 IFEZ 개청 20주년 KBS 열린음악회,2023년 인천 장애인 일자리 박람회,인천 이스포츠 챌린지 2023 스쿨리그 ,,기부천사 나눔음악회,힐스테이트 부평 입주박람회(2차),e편한세상 부평 그랑힐스 입주박람회,2023 카페디저트페어,,
,,제7회 인천 건축 박람회 / 제7회 인천 가구 엑스포 / 제7회 인천 홈&리빙 페어 / 제7회 인천 차·공예 박람회 / 제7회 인천 스포츠·레저·골프산업 박람회,,,,,제일 디저트&카페 창업쇼-인천 (제일 창업 박람회 in 인천),,2023 대한응급의학회 추계학술대회,,,STARCALL GOOD CONCERT / THE GREATEST 전율 정동하X소향,〈미스터트롯2〉 전국투어 콘서트 - 인천,한화포레나 인천연수 입주박람회,2023 인천베이비페어,,
,,,,,,,2023 케이펫페어 송도,,2023 영탁 단독 콘서트 〈TAK SHOW2: TAK'S WORLD〉 - 인천,,,2023 인천 여성&노인 일자리한마당,송도국제도시 디에트로 시그니처뷰 입주박람회,제일 디저트&카페 창업쇼-인천 (제일 창업 박람회 in 인천),2023 인천 유기농.친환경 박람회,,
,,,,,,,2023 인천낚시박람회,,제2회 세계를 품은 인천교육 한마당,,,2023 제9회 생명의 바다 그림대회,2023 인천 청소년 진로박람회,2023 케이펫페어 송도,Rubik’s WCA 월드 챔피언십 2023,,
,,,,,,,2023년 글로벌 취업·창업박람회,,,,,2023 인천 특성화고 채용박람회,2023 K-DARTS FESTIVAL,2023 인천낚시박람회,2023 인천국제유아교육전 IN FALL,,
,,,,,,,2023 인천국제유아교육전 IN FALL,,,,,제59회 인천 시민의 날 및 IFEZ 개청 20주년 KBS 열린음악회,2023 크리에이터 미디어대전 in.인천,2023 국제PCB 및 반도체패키징산업전,2023 뷰티&헬스케어쇼,,
,,,,,,,,,,,,2023 장윤정 라이브 콘서트,팬텀싱어 콘서트,2023 인천직업교육박람회,제8회 인천 가구 엑스포 / 제8회 인천 홈&리빙 페어 / 제8회 인천 차·공예 박람회 / 제8회 인천 스포츠·레저·골프산업 박람회,,
,,,,,,,,,,,,군인요리대회,2023 월드 로봇 올림피아드(WRO) 한국대회,2023 그린에너지·환경산업전,2023 인천가구쇼 (시즌2),,
,,,,,,,,,,,,제2회 인천 평생학습 시민축제,인천 이스포츠 챌린지 아마추어 대회,,2023 인천코리아 아트페스티벌(IKAF),,
,,,,,,,,,,,,2023 (주)셀트리온 임시주주총회,2023 포레스텔라 전국투어 콘서트 – The Light in Incheon,,2023 국제치안산업대전,,
,,,,,,,,,,,,2023년 인천 장애인 일자리 박람회,더 포레마제 입주박람회(2차),,인천아시아아트쇼 2023,,
,,,,,,,,,,,,예거스컵 송도,2023년 글로벌 취업·창업박람회,,,,
,,,,,,,,,,,,트롯투나잇 in 송도,용현 자이크레스트 입주박람회,,,,
,,,,,,,,,,,,2023 시너지 코리아 서밋,송도국제도시 디에트르 시그니처뷰 입주박람회(2차),,,,
,,,,,,,,,,,,에일리 콘서트,Glassman Asia 2023,,,,
,,,,,,,,,,,,스트릿 우먼 파이터2 ［ON THE STAGE］ Tour - 인천,힐스테이트 레이크 송도3차 입주박람회,,,,
,,,,,,,,,,,,불타는 트롯맨 TOP7 콘서트 - 인천,2023 대한응급의학회 추계학술대회,,,,
,,,,,,,,,,,,,2023 영탁 단독 콘서트 〈TAK SHOW2: TAK'S WORLD〉 - 인천,,,,
,,,,,,,,,,,,,제2회 세계를 품은 인천교육 한마당,,,,
,,,,,,,,,,,,,2023 인천 SW 미래채움 페스티벌,,,,
,,,,,,,,,,,,,용현자이크레스트 2차 입주박람회,,,,
,,,,,,,,,,,,,KME 2023,,,,
,,,,,,,,,,,,,2023 중소기업융합대전,,,,
,,,,,,,,,,,,,인천 이스포츠 챌린지 2023 스쿨리그 ,,,,
