1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1일 개최 건수,2일 개최 건수,3일 개최 건수,4일 개최 건수,5일 개최 건수,6일 개최 건수,7일 개최 건수,86일 개최 건수
4,4,5,7,5,6,3,12,3,12,5,4,2,28,19,14,2,1,1,1
연수 서해그랑블 에듀파크 입주박람회,2024 국제아웃도어캠핑&레포츠페스티벌 ,2024 스카마켓 인 인천 송도,주안 더샵 아르테 입주박람회,하늘도시 서한 이다음 입주박람회 (2차),송도 자이 크리스탈 오션 입주박람회,2024 인천 베이비페어,2024 크리에이터 미디어 산업대전 in 인천,2024 국제PCB 및 반도체패키징산업전,2024 인천가구쇼(Autumn),코리아 마이스 엑스포 2024,인천 송도 상상체험 키즈월드,신세계 야구단 팬 초청 행사,연수 서해그랑블 에듀파크 입주박람회,2024 국제아웃도어캠핑&레포츠페스티벌 ,2024 인천가구박람회,미래내일 일경험 사업 인턴형 프로그램 사전직무교육,인천 유니버설 아트페어 2024,2024 서울-인천 제4차 로잔대회,인천 송도 상상체험 키즈월드
신세계 야구단 팬 초청 행사,2024 코베 베이비페어 & 유아교육전,힐스테이트 송도 더 스카이 입주박람회 ,미래내일 일경험 사업 인턴형 프로그램 사전직무교육,2024 대한민국 드론박람회,2024 인천가구박람회,2024 카페디저트페어,2024년 월드로봇올림피아드 한국대회,인천스타트업위크 서프 2024,2024 인천코리아아트페스티벌 (IKAF),2024 대한민국 전시산업대전,2024 인천 베이비페어,바다해적 불가사리의 재탄생(그린파트너스),e편한세상 검단 어반센트로,2024 대한민국 고기능소재위크,2024 코베 베이비페어 & 유아교육전,제20차 세계비파괴검사학술대회 및 전시회,,,
2024 인천가구박람회,영종국제도시 서한 이다음 입주박람회,2024 대한민국 고기능소재위크,마이펫페어 2024 송도,제28회 인천베이비&키즈페어,학익 SK뷰 입주자 박람회,2024 케이펫페어 송도,인천 유니버설 아트페어 2024,2024 서울-인천 제4차 로잔대회,2024 인천직업교육박람회,인천아트쇼2024,2024 인천 반려동물 박람회,,영종국제도시 서한 이다음 입주박람회,마이펫페어 2024 송도,2024 인천가구쇼 (spring),,,,
e편한세상 검단 어반센트로,2024 인천가구쇼 (spring),2024 송도K-골프박람회 WITH 파크골프,2024 펫가족여행박람회,주안 더샵 아르테 입주박람회 (2차),2024 국제해양·안전대전 ,,영종호반써밋 스카이센트럴 2차 입주박람회,,2024 글로벌 취업·창업박람회,제1회 인천광역시 사회적경제 박람회,2024 인천 소프트웨어(SW) 미래채움 교육 페스티벌,,힐스테이트 송도 더 스카이 입주박람회 ,2024 펫가족여행박람회,2024 스카마켓 인 인천 송도,,,,
,,제19회 렙타일페어 인천,송도 자이 크리스탈 오션 입주박람회 1차,제20차 세계비파괴검사학술대회 및 전시회,웰-슬립페어 2024  ,,e편한세상 부평 센트럴파크 1차 입주박람회,,2024 인천 이스포츠 챌린지 스쿨리그,2024 아태 풍력에너지 서밋,,,제19회 렙타일페어 인천,2024 대한민국 드론박람회,2024 송도K-골프박람회 WITH 파크골프,,,,
,,,힐스테이트 송도 더 스카이 입주박람회 2차,,시흥 장현 퍼스트베뉴 입주박람회,,2024 인천국제유아교육전 IN FALL,,신 검단중앙역 풍경채 어바니티 입주박람회,,,,주안 더샵 아르테 입주박람회,학익 SK뷰 입주자 박람회,제28회 인천베이비&키즈페어,,,,
,,,2024 인천 튜닝카 캠핑 박람회,,,,2024 카페창업쇼 in인천 & 제일창업박람회 in인천 ,,제1회 대한민국 파충류 페스티벌,,,,송도 자이 크리스탈 오션 입주박람회 1차,2024 국제해양·안전대전 ,2024 인천 베이비페어,,,,
,,,,,,,제29회 인천 베이비&키즈페어,,e편한세상 부평 센트럴파크 2차 입주박람회,,,,힐스테이트 송도 더 스카이 입주박람회 2차,웰-슬립페어 2024  ,2024 카페디저트페어,,,,
,,,,,,,2024 인천낚시박람회,,2024 국제치안산업대전,,,,2024 인천 튜닝카 캠핑 박람회,2024 케이펫페어 송도,2024 인천국제유아교육전 IN FALL,,,,
,,,,,,,2024 뷰티&헬스케어쇼,,제3회 세계를 품은 인천교육 한마당,,,,하늘도시 서한 이다음 입주박람회 (2차),2024 카페창업쇼 in인천 & 제일창업박람회 in인천 ,제29회 인천 베이비&키즈페어,,,,
,,,,,,,2024 세계 식생활 문화 체험 한마당,,2024 그린에너텍(GreenEnerTEC),,,,주안 더샵 아르테 입주박람회 (2차),2024 인천낚시박람회,2024 인천가구쇼(Autumn),,,,
