1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1일 개최 건수,2일 개최 건수,3일 개최 건수,4일 개최 건수,5일 개최 건수
1,3,3,6,0.0,5,3,4,8,3,3,3,1,8,15,16,2
한국 HIM 선교회 컨퍼런스 : 통일을 준비하라!,고카프 인천 퍼스트 시즌,K렙타일페어,대한치과의사협회 창립 100주년 기념행사,,2025 인천가구쇼,2025 인천베이비페어,2025 인천낚시박람회,KPCA SHOW 2025,제7회 국제치안산업대전,글로벌 인플루언서 엑스포 2025,인천가구쇼,강화에듀페어,K렙타일페어,고카프 인천 퍼스트 시즌,한국 HIM 선교회 컨퍼런스 : 통일을 준비하라!,2025 인천 밀리언쇼
,인천 코베 베이비페어&유아교육전,카페&디저트페어,제9회인천국제용접.절단및판금.레이저설비산업전시회,,2025 인천 일러스트코리아,2025 크리에이터 미디어 산업대전 in 인천,2025 한국뇌신경과학회 정기국제학술대회,인천 아시아건축사대회,제4회 세계를 품은 인천 교육 한마당,인천아트쇼2025,인천베이비페어 (14회),,K렙타일페어 송도,대한민국고기능소재위크,인천 코베 베이비페어&유아교육전,2025 인천 밀리언쇼 우수중소기업&농수산물박람회 (2회차)
,2025 인천가구박람회,대한민국고기능소재위크,펫가족여행박람회,,K렙타일페어 송도,강화에듀페어,2025 인천 밀리언쇼 우수중소기업&농수산물박람회 (2회차),2025 그린에너텍,코리아 비즈니스 엑스포 인천,인천 AI·SW미래채움 교육페스티벌,관상어 파충류 박람회,,2025 크리에이터 미디어 산업대전 in 인천,대한치과의사협회 창립 100주년 기념행사,2025 인천가구박람회,
,,,마이펫페어 2025 송도,,2025 인천 밀리언쇼,,2025 뷰티&헬스케어쇼,인천 베이비&키즈페어 (31회),,,,,인천스타트업위크 2025,제9회인천국제용접.절단및판금.레이저설비산업전시회,카페&디저트페어,
,,,인천 베이비&키즈페어 (30회),,인천 반려동물 박람회,,,인천스타트업위크 2025,,,,,제4회 세계를 품은 인천 교육 한마당,펫가족여행박람회,인천 베이비&키즈페어 (30회),
,,,인천국제유아교육전 in spring,,,,,2025 인천가구박람회 (2차),,,,,코리아 비즈니스 엑스포 인천,마이펫페어 2025 송도,인천국제유아교육전 in spring,
,,,,,,,,2025 케이펫페어 송도,,,,,인천 AI·SW미래채움 교육페스티벌,2025 인천 일러스트코리아,2025 인천가구쇼,
,,,,,,,,인천직업교육박람회 ,,,,,관상어 파충류 박람회,인천 반려동물 박람회,2025 인천베이비페어,
,,,,,,,,,,,,,,2025 인천낚시박람회,2025 한국뇌신경과학회 정기국제학술대회,
,,,,,,,,,,,,,,2025 뷰티&헬스케어쇼,인천 베이비&키즈페어 (31회),
,,,,,,,,,,,,,,KPCA SHOW 2025,2025 인천가구박람회 (2차),
,,,,,,,,,,,,,,인천 아시아건축사대회,제7회 국제치안산업대전,
,,,,,,,,,,,,,,2025 그린에너텍,글로벌 인플루언서 엑스포 2025,
,,,,,,,,,,,,,,2025 케이펫페어 송도,인천아트쇼2025,
,,,,,,,,,,,,,,인천직업교육박람회 ,인천가구쇼,
,,,,,,,,,,,,,,,인천베이비페어 (14회),
