CTPRVN_NM,SIGNGU_NM,ADSTRD_CD,PRFPLC_CO,FOOD_FCLTY_CO,LDGMNT_FCLTY_CO,POPLTN_CO,FILE_NM,BASE_DE
"강원특별자치도","강릉시","5115025000","3","739","166","179318","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","강릉시","5115031000","1","101","49","179318","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","강릉시","5115032000","1","18","52","179318","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","강릉시","5115033000","8","36","8","179318","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","강릉시","5115034000","6","213","175","179318","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","강릉시","5115035000","1","101","93","179318","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","강릉시","5115036000","4","148","178","179318","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","강릉시","5115037000","2","150","216","179318","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","강릉시","5115052000","7","610","47","179318","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","강릉시","5115054000","1","393","62","179318","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","강릉시","5115055000","6","588","35","179318","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","강릉시","5115056000","8","133","109","179318","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","강릉시","5115057100","2","480","29","179318","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","강릉시","5115057200","1","296","15","179318","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","강릉시","5115058000","4","253","95","179318","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","강릉시","5115059000","3","123","36","179318","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","강릉시","5115060000","1","244","7","179318","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","강릉시","5115061500","2","213","10","179318","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","강릉시","5115066500","14","267","299","179318","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","고성군","5182025000","6","239","74","21270","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","고성군","5182025300","7","197","101","21270","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","고성군","5182031000","5","75","95","21270","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","고성군","5182032000","1","140","268","21270","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","고성군","5182033000","4","262","293","21270","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","동해시","5117051000","6","884","47","72280","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","동해시","5117054000","1","133","16","72280","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","동해시","5117055000","1","96","10","72280","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","동해시","5117057000","2","174","27","72280","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","동해시","5117059000","1","167","117","72280","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","동해시","5117063000","1","55","121","72280","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","동해시","5117065000","1","64","10","72280","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","삼척시","5123025000","1","196","18","46205","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","삼척시","5123025300","1","240","100","46205","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","삼척시","5123031000","4","187","357","46205","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","삼척시","5123035000","1","12","31","46205","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","삼척시","5123036000","1","31","19","46205","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","삼척시","5123053000","2","252","68","46205","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","삼척시","5123057000","11","588","42","46205","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
"강원특별자치도","속초시","5121051000","1","219","47","66912","KC_624_DMSTC_MIEC_STATN_BIZAEA_2023","20231221"
