시도,군구,관광지,내/외국인,총계(2023.01 ~ 2025.12),2023년,,,,,,,,,,,,,2024년,,,,,,,,,,,,,2025년,,,,,,,,,,,,,
,,,,,인원계,2023년 01월,2023년 02월,2023년 03월,2023년 04월,2023년 05월,2023년 06월,2023년 07월,2023년 08월,2023년 09월,2023년 10월,2023년 11월,2023년 12월,인원계,2024년 01월,2024년 02월,2024년 03월,2024년 04월,2024년 05월,2024년 06월,2024년 07월,2024년 08월,2024년 09월,2024년 10월,2024년 11월,2024년 12월,인원계,2025년 01월,2025년 02월,2025년 03월,2025년 04월,2025년 05월,2025년 06월,2025년 07월,2025년 08월,2025년 09월,2025년 10월,2025년 11월,2025년 12월,
인천광역시,중구,소무의도 스토리움,내국인,"66,140","20,165",0,0,"3,104","3,149","2,162","1,312","1,532","1,839","1,692","2,261","1,526","1,588","25,911","1,451","1,351","2,376","2,365","2,337","3,021","2,507","2,808","2,424","2,420","1,679","1,172","20,064",999,"1,020","1,665","1,437","2,366","2,639","1,692","2,472","1,591","1,945","1,300",938,
인천광역시,중구,소무의도 스토리움,합계,"66,140","20,165",0,0,"3,104","3,149","2,162","1,312","1,532","1,839","1,692","2,261","1,526","1,588","25,911","1,451","1,351","2,376","2,365","2,337","3,021","2,507","2,808","2,424","2,420","1,679","1,172","20,064",999,"1,020","1,665","1,437","2,366","2,639","1,692","2,472","1,591","1,945","1,300",938,
인천광역시,중구,송월동화마을 트릭아트스토리,내국인,"58,555","20,018",847,"2,446","2,032","2,306","1,868","1,963","1,169","1,724","1,673","3,990",0,0,"20,600",0,"3,325","3,172","2,385","2,808",0,485,"1,307","1,686","2,460","1,713","1,259","17,937","1,288","1,675","1,720","1,535","2,277","1,990",828,"1,502","1,319","1,462","1,368",973,
인천광역시,중구,송월동화마을 트릭아트스토리,합계,"58,555","20,018",847,"2,446","2,032","2,306","1,868","1,963","1,169","1,724","1,673","3,990",0,0,"20,600",0,"3,325","3,172","2,385","2,808",0,485,"1,307","1,686","2,460","1,713","1,259","17,937","1,288","1,675","1,720","1,535","2,277","1,990",828,"1,502","1,319","1,462","1,368",973,
인천광역시,중구,씨사이드파크 레일바이크,내국인,"476,175","132,717","3,516","7,132","10,700","14,700","14,600","15,600","8,289","10,425","15,082","22,504","6,457","3,712","180,596","3,230","7,418","10,908","19,056","22,459","22,580","11,017","10,738","22,837","28,511","17,313","4,529","162,862","4,820","4,815","11,537","13,543","27,817","20,136","8,212","13,975","13,639","25,387","15,143","3,838",
인천광역시,중구,씨사이드파크 레일바이크,합계,"476,175","132,717","3,516","7,132","10,700","14,700","14,600","15,600","8,289","10,425","15,082","22,504","6,457","3,712","180,596","3,230","7,418","10,908","19,056","22,459","22,580","11,017","10,738","22,837","28,511","17,313","4,529","162,862","4,820","4,815","11,537","13,543","27,817","20,136","8,212","13,975","13,639","25,387","15,143","3,838",
인천광역시,중구,연안부두 유람선,내국인,"162,952","55,318","1,207","2,209","3,574","4,710","5,669","5,666","4,805","5,601","6,135","8,059","4,545","3,138","57,098",894,"3,917","5,665","7,797","7,982","6,005","2,155","4,995","6,995","7,183","2,562",948,"50,536","2,567","1,215","3,631","5,900","6,105","5,980","3,135","3,956","4,019","8,055","5,165",808,
인천광역시,중구,연안부두 유람선,외국인,"27,539","6,552",353,140,361,540,681,385,220,349,"1,145","1,291",775,312,"13,941",356,"1,448",885,"1,093","1,173","1,875","2,165",965,"1,565","1,767",505,144,"7,046",605,334,925,"1,000",995,870,385,394,511,800,185,42,
인천광역시,중구,연안부두 유람선,합계,"190,491","61,870","1,560","2,349","3,935","5,250","6,350","6,051","5,025","5,950","7,280","9,350","5,320","3,450","71,039","1,250","5,365","6,550","8,890","9,155","7,880","4,320","5,960","8,560","8,950","3,067","1,092","57,582","3,172","1,549","4,556","6,900","7,100","6,850","3,520","4,350","4,530","8,855","5,350",850,
인천광역시,중구,영종역사관,내국인,"141,063","44,721","1,412","3,045","3,320","4,615","5,659","4,320","3,178","6,161","4,039","4,753","2,269","1,950","47,235","2,249","2,639","4,514","4,790","6,935","4,981","2,178","3,973","4,308","5,384","3,314","1,970","49,107","2,013","2,504","3,815","4,658","5,682","4,519","2,638","4,857","4,679","5,928","5,112","2,702",
인천광역시,중구,영종역사관,합계,"141,063","44,721","1,412","3,045","3,320","4,615","5,659","4,320","3,178","6,161","4,039","4,753","2,269","1,950","47,235","2,249","2,639","4,514","4,790","6,935","4,981","2,178","3,973","4,308","5,384","3,314","1,970","49,107","2,013","2,504","3,815","4,658","5,682","4,519","2,638","4,857","4,679","5,928","5,112","2,702",
인천광역시,중구,월미도 유람선,내국인,"201,234","59,687","1,203",742,"4,465","9,832","6,985","7,358","4,062","6,149","6,418","8,045","2,186","2,242","67,267","1,109","2,048","5,315","9,122","7,536","9,177","3,688","6,724","7,340","7,231","6,789","1,188","74,280","1,526",346,"5,431","10,314","9,979","9,222","4,872","8,405","5,440","9,037","6,686","3,022",
인천광역시,중구,월미도 유람선,외국인,"58,176","16,572",166,67,925,909,"1,084","1,478","1,215","2,811","2,973","4,097",495,352,"22,586",153,757,604,"2,616","3,564","2,046","1,717","2,361","5,024","2,765",883,96,"19,018",126,0,"1,007","1,622","2,678","2,550","1,080","2,882","1,173","3,984","1,493",423,
인천광역시,중구,월미도 유람선,합계,"259,410","76,259","1,369",809,"5,390","10,741","8,069","8,836","5,277","8,960","9,391","12,142","2,681","2,594","89,853","1,262","2,805","5,919","11,738","11,100","11,223","5,405","9,085","12,364","9,996","7,672","1,284","93,298","1,652",346,"6,438","11,936","12,657","11,772","5,952","11,287","6,613","13,021","8,179","3,445",
인천광역시,중구,월미바다열차,내국인,"779,058","263,383","14,313","11,807","20,408","27,677","27,348","26,600","20,912","23,670","24,637","30,656","18,370","16,985","264,077","15,113","18,344","18,495","29,738","29,292","29,343","19,611","21,792","18,438","28,784","18,948","16,179","251,598","16,941","14,219","19,572","24,655","27,466","24,795","18,495","24,315","18,767","27,699","20,025","14,649",
인천광역시,중구,월미바다열차,합계,"779,058","263,383","14,313","11,807","20,408","27,677","27,348","26,600","20,912","23,670","24,637","30,656","18,370","16,985","264,077","15,113","18,344","18,495","29,738","29,292","29,343","19,611","21,792","18,438","28,784","18,948","16,179","251,598","16,941","14,219","19,572","24,655","27,466","24,795","18,495","24,315","18,767","27,699","20,025","14,649",
